Fecha,Noroeste monÛxido de carbono,Noreste monÛxido de carbono,Centro monÛxido de carbono,Suroeste monÛxido de carbono,Sureste monÛxido de carbono
26/03/22,3.875,5.708333333,5.333333333,3.625,4.708333333
27/03/22,4.208333333,5.375,5.833333333,3.208333333,5.5
28/03/22,5.777777778,5.611111111,7.277777778,3.611111111,6.888888889
29/03/22,5.958333333,6.041666667,6.583333333,3.75,6.125
30/03/22,5,5.75,4.625,4.458333333,4.375
31/03/22,6.416666667,7.375,6.791666667,5.416666667,5.833333333
01/04/22,5.75,6.125,7.791666667,4.875,5.791666667
02/04/22,5.5,6.25,7.375,5.708333333,6.375
03/04/22,4.222222222,6.388888889,6.666666667,4,4.222222222
04/04/22,6.416666667,7.916666667,7.083333333,4.458333333,5.458333333
05/04/22,5.125,6.791666667,5.25,3.25,4.041666667
06/04/22,5.833333333,8.833333333,6.625,4.041666667,6.916666667
07/04/22,3.291666667,4.083333333,4.125,3.333333333,5.916666667
08/04/22,4.125,6.208333333,5.583333333,4.75,5.458333333
09/04/22,5.583333333,11.16666667,7.333333333,5.277777778,6.666666667
10/04/22,6.625,8.708333333,8.166666667,4,5.375
11/04/22,5.208333333,7.041666667,5.75,3.291666667,4.833333333
12/04/22,4.083333333,5.458333333,4.875,3.041666667,2.875
13/04/22,5.25,6.583333333,5.5,3.541666667,4.5
14/04/22,4.541666667,6.208333333,6.291666667,4.541666667,5
15/04/22,3.125,4.222222222,4.222222222,3.666666667,3.666666667
16/04/22,3.041666667,5.041666667,4.375,3.541666667,3.791666667
17/04/22,3.208333333,4,4.666666667,2.291666667,4.041666667
18/04/22,4.416666667,5.333333333,5.5,3.5,4.875
19/04/22,3.916666667,4.083333333,3.75,3.333333333,4.75
20/04/22,5.333333333,5.5,4.875,3.75,4.5
21/04/22,5.25,4.944444444,5.944444444,3.944444444,5.5
22/04/22,4.166666667,4,4.208333333,3.083333333,3.708333333
23/04/22,4.25,5.833333333,5.5,3.583333333,4.166666667
24/04/22,4.5,6.208333333,5.666666667,3.125,3.833333333
25/04/22,4.791666667,6.916666667,6.166666667,3.166666667,5.291666667
26/04/22,3.541666667,4.208333333,4.375,2.5,5.083333333
27/04/22,2.111111111,3.277777778,3.5,3.111111111,3.166666667
28/04/22,5.708333333,5.458333333,5.916666667,4.5,5.083333333
